Crop,State,Season,year,Area,Production,Yield,avg_temperature_2m_mean,avg_temperature_2m_max,avg_temperature_2m_min,avg_relative_humidity_2m_mean,avg_wind_speed_10m_max,avg_wind_direction_10m_dominant,avg_precipitation_sum,avg_shortwave_radiation_sum,avg_surface_pressure_mean,avg_cloud_cover_mean
Rice,Andaman And Nicobar Islands,Kharif,2020,0.06,0.13,2133.0,28.32,28.92,27.68,77.31,4.08,158.54,5.6,18.52,100.88,69.69
Rice,Andaman And Nicobar Islands,Kharif,2021,0.06,0.13,2133.0,28.29,28.79,27.73,77.64,4.18,161.38,6.37,17.93,100.86,71.41
Rice,Andaman And Nicobar Islands,Kharif,2022,0.05,0.11,2107.0,28.25,28.74,27.68,77.82,3.85,156.64,6.67,17.72,100.8,77.01
Rice,Andaman And Nicobar Islands,Kharif,2023,0.05,0.1,2100.0,28.55,29.11,27.97,77.77,4.56,164.93,5.01,18.38,100.93,69.37
Rice,Andaman And Nicobar Islands,Total,2020,0.06,0.13,2133.0,28.32,28.92,27.68,77.31,4.08,158.54,5.6,18.52,100.88,69.69
Rice,Andaman And Nicobar Islands,Total,2021,0.06,0.13,2133.0,28.29,28.79,27.73,77.64,4.18,161.38,6.37,17.93,100.86,71.41
Rice,Andaman And Nicobar Islands,Total,2022,0.05,0.11,2107.0,28.25,28.74,27.68,77.82,3.85,156.64,6.67,17.72,100.8,77.01
Rice,Andaman And Nicobar Islands,Total,2023,0.05,0.1,2100.0,28.55,29.11,27.97,77.77,4.56,164.93,5.01,18.38,100.93,69.37
Rice,Andhra Pradesh,Kharif,2020,14.96,42.11,2815.0,27.89,33.28,23.65,72.22,2.65,171.69,3.21,18.08,99.98,58.31
Rice,Andhra Pradesh,Kharif,2021,15.08,43.26,2869.0,27.86,33.37,23.45,71.26,2.51,177.48,2.69,17.96,99.94,58.0
Rice,Andhra Pradesh,Kharif,2022,14.52,49.86,3434.0,27.66,33.28,23.26,71.98,2.56,167.43,2.74,17.8,99.91,55.42
Rice,Andhra Pradesh,Kharif,2023,13.47,46.95,3485.0,28.5,34.49,23.81,67.52,2.62,174.84,2.54,18.33,100.04,54.41
Rice,Andhra Pradesh,Kharif,2024,14.04,50.31,3583.0,28.43,34.01,24.13,71.61,2.76,168.25,2.85,17.62,99.99,56.82
Rice,Andhra Pradesh,Rabi,2020,8.28,36.72,4437.0,27.89,33.28,23.65,72.22,2.65,171.69,3.21,18.08,99.98,58.31
Rice,Andhra Pradesh,Rabi,2021,7.81,34.37,4401.0,27.86,33.37,23.45,71.26,2.51,177.48,2.69,17.96,99.94,58.0
Rice,Andhra Pradesh,Rabi,2022,6.77,29.56,4366.0,27.66,33.28,23.26,71.98,2.56,167.43,2.74,17.8,99.91,55.42
Rice,Andhra Pradesh,Rabi,2023,5.73,26.46,4616.0,28.5,34.49,23.81,67.52,2.62,174.84,2.54,18.33,100.04,54.41
Rice,Andhra Pradesh,Rabi,2024,6.71,29.86,4450.0,28.43,34.01,24.13,71.61,2.76,168.25,2.85,17.62,99.99,56.82
Rice,Andhra Pradesh,Total,2020,23.24,78.83,3393.0,27.89,33.28,23.65,72.22,2.65,171.69,3.21,18.08,99.98,58.31
Rice,Andhra Pradesh,Total,2021,22.89,77.64,3392.0,27.86,33.37,23.45,71.26,2.51,177.48,2.69,17.96,99.94,58.0
Rice,Andhra Pradesh,Total,2022,21.29,79.42,3730.0,27.66,33.28,23.26,71.98,2.56,167.43,2.74,17.8,99.91,55.42
Rice,Andhra Pradesh,Total,2023,19.21,73.42,3822.0,28.5,34.49,23.81,67.52,2.62,174.84,2.54,18.33,100.04,54.41
Rice,Andhra Pradesh,Total,2024,20.75,80.16,3863.0,28.43,34.01,24.13,71.61,2.76,168.25,2.85,17.62,99.99,56.82
Rice,Arunachal Pradesh,Kharif,2020,1.33,2.46,1849.0,20.63,25.43,16.67,80.02,0.33,112.03,11.95,11.73,93.14,83.68
Rice,Arunachal Pradesh,Kharif,2021,1.36,2.51,1852.0,20.85,25.96,16.71,78.7,0.34,110.21,7.45,12.02,93.14,83.13
